Designator,Mid X,Mid Y,Rotation,Layer
D1,11.90625,-14.2875,180.0,bottom
D10,61.9125,-52.3875,180.0,bottom
D11,71.4375,-14.2875,180.0,bottom
D12,76.2,-33.3375,180.0,bottom
D13,80.9625,-52.3875,180.0,bottom
D14,78.58125,-71.4375,180.0,bottom
D15,90.4875,-14.2875,180.0,bottom
D16,95.25,-33.3375,180.0,bottom
D17,100.0125,-52.3875,180.0,bottom
D18,109.5375,-14.2875,180.0,bottom
D19,114.3,-33.3375,180.0,bottom
D2,14.2875,-33.3375,180.0,bottom
D20,119.0625,-52.3875,180.0,bottom
D21,123.825,-71.4375,180.0,bottom
D22,128.5875,-14.2875,180.0,bottom
D23,133.35,-33.3375,180.0,bottom
D24,138.1125,-52.3875,180.0,bottom
D25,147.6375,-14.2875,180.0,bottom
D26,152.4,-33.3375,180.0,bottom
D27,157.1625,-52.3875,180.0,bottom
D28,166.6875,-14.2875,180.0,bottom
D29,171.45,-33.3375,180.0,bottom
D3,16.66875,-52.3875,180.0,bottom
D30,176.2125,-52.3875,180.0,bottom
D31,169.06875,-71.4375,180.0,bottom
D32,185.7375,-14.2875,180.0,bottom
D33,190.5,-33.3375,180.0,bottom
D34,195.2625,-52.3875,180.0,bottom
D35,204.7875,-14.2875,180.0,bottom
D36,209.55,-33.3375,180.0,bottom
D37,214.3125,-52.3875,180.0,bottom
D38,230.98125,-14.2875,180.0,bottom
D39,233.3625,-33.3375,180.0,bottom
D4,14.2875,-71.4375,180.0,bottom
D40,235.74375,-52.3875,180.0,bottom
D41,233.3625,-71.4375,180.0,bottom
D5,33.3375,-14.2875,180.0,bottom
D6,38.1,-33.3375,180.0,bottom
D7,42.8625,-52.3875,180.0,bottom
D8,52.3875,-14.2875,180.0,bottom
D9,57.15,-33.3375,180.0,bottom
