Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,1.45,-6.785,270.0,bottom
D10,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,70.45,-48.875,90.0,bottom
D11,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,80.05,-11.125,90.0,bottom
D12,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,84.65,-30.375,90.0,bottom
D13,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,89.45,-48.875,90.0,bottom
D14,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,91.0,-67.875,90.0,bottom
D15,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,98.95,-11.125,90.0,bottom
D16,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,103.75,-30.375,90.0,bottom
D17,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,108.45,-48.875,90.0,bottom
D18,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,118.05,-11.075,90.0,bottom
D19,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,122.75,-30.375,90.0,bottom
D2,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,23.75,-30.365,90.0,bottom
D20,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,127.45,-48.875,90.0,bottom
D21,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,136.25,-67.875,90.0,bottom
D22,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,137.15,-11.125,90.0,bottom
D23,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,141.75,-30.375,90.0,bottom
D24,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,146.55,-48.875,90.0,bottom
D25,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,156.25,-11.075,90.0,bottom
D26,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,160.85,-30.375,90.0,bottom
D27,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,165.55,-48.875,90.0,bottom
D28,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,175.15,-11.125,90.0,bottom
D29,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,179.95,-30.375,90.0,bottom
D3,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,26.75,-48.875,90.0,bottom
D30,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,184.65,-48.875,90.0,bottom
D31,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,181.25,-67.875,90.0,bottom
D32,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,194.25,-11.065,90.0,bottom
D33,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,198.95,-30.375,90.0,bottom
D34,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,203.65,-48.875,90.0,bottom
D35,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,215.25,-11.125,90.0,bottom
D36,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,220.0,-30.375,90.0,bottom
D37,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,224.75,-48.875,90.0,bottom
D38,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,241.0,-11.125,90.0,bottom
D39,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,243.25,-30.435,90.0,bottom
D4,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,25.5,-67.875,90.0,bottom
D40,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,244.75,-48.875,90.0,bottom
D41,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,243.75,-67.875,90.0,bottom
D5,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,41.85,-11.125,90.0,bottom
D6,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,46.65,-30.365,90.0,bottom
D7,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,51.45,-48.875,90.0,bottom
D8,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,60.95,-11.125,90.0,bottom
D9,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,65.65,-30.375,90.0,bottom
SW1,SW_Push,MX_Socket_1.25U,11.270168,-7.26,0.0,bottom
SW10,SW_Push,MX_Socket,61.276418,-45.36,0.0,bottom
SW11,SW_Push,MX_Socket,70.801418,-7.26,0.0,bottom
SW12,SW_Push,MX_Socket,75.563918,-26.31,0.0,bottom
SW13,SW_Push,MX_Socket,80.326418,-45.36,0.0,bottom
SW14,SW_Push,MX_Socket,77.945168,-64.41,0.0,bottom
SW15,SW_Push,MX_Socket,89.851418,-7.26,0.0,bottom
SW16,SW_Push,MX_Socket,94.613918,-26.31,0.0,bottom
SW17,SW_Push,MX_Socket,99.376418,-45.36,0.0,bottom
SW18,SW_Push,MX_Socket,108.901418,-7.26,0.0,bottom
SW19,SW_Push,MX_Socket,113.663918,-26.31,0.0,bottom
SW2,SW_Push,MX_Socket_1.50U,13.651418,-26.31,0.0,bottom
SW20,SW_Push,MX_Socket,118.426418,-45.36,0.0,bottom
SW21,SW_Push,MX_Socket,123.188918,-64.41,0.0,bottom
SW22,SW_Push,MX_Socket,127.951418,-7.26,0.0,bottom
SW23,SW_Push,MX_Socket,132.713918,-26.31,0.0,bottom
SW24,SW_Push,MX_Socket,137.476418,-45.36,0.0,bottom
SW25,SW_Push,MX_Socket,147.001418,-7.26,0.0,bottom
SW26,SW_Push,MX_Socket,151.763918,-26.31,0.0,bottom
SW27,SW_Push,MX_Socket,156.526418,-45.36,0.0,bottom
SW28,SW_Push,MX_Socket,166.051418,-7.26,0.0,bottom
SW29,SW_Push,MX_Socket,170.813918,-26.31,0.0,bottom
SW3,SW_Push,MX_Socket_1.75U,16.032668,-45.36,0.0,bottom
SW30,SW_Push,MX_Socket,175.576418,-45.36,0.0,bottom
SW31,SW_Push,MX_Socket,168.432668,-64.41,0.0,bottom
SW32,SW_Push,MX_Socket,185.101418,-7.26,0.0,bottom
SW33,SW_Push,MX_Socket,189.863918,-26.31,0.0,bottom
SW34,SW_Push,MX_Socket,194.626418,-45.36,0.0,bottom
SW35,SW_Push,MX_Socket,204.151418,-7.26,0.0,bottom
SW36,SW_Push,MX_Socket,208.913918,-26.31,0.0,bottom
SW37,SW_Push,MX_Socket,213.676418,-45.36,0.0,bottom
SW38,SW_Push,MX_Socket_1.75U,230.345168,-7.26,0.0,bottom
SW39,SW_Push,MX_Socket_1.50U,232.726418,-26.31,0.0,bottom
SW4,SW_Push,MX_Socket_1.50U,13.651418,-64.41,0.0,bottom
SW40,SW_Push,MX_Socket_1.25U,235.107668,-45.36,0.0,bottom
SW41,SW_Push,MX_Socket_1.50U,232.726418,-64.41,0.0,bottom
SW5,SW_Push,MX_Socket,32.701418,-7.26,0.0,bottom
SW6,SW_Push,MX_Socket,37.463918,-26.31,0.0,bottom
SW7,SW_Push,MX_Socket,42.226418,-45.36,0.0,bottom
SW8,SW_Push,MX_Socket,51.751418,-7.26,0.0,bottom
SW9,SW_Push,MX_Socket,56.513918,-26.31,0.0,bottom
U1,RP2040-Zero,RP2040-Zero-THT,11.875,-6.755,270.0,bottom
